Variable,Type,Length,Format,Label
CAN_ABO,char,3,$ABO,Patient/s Blood Type
CAN_ACADEMIC_LEVEL,num,8,ACDMACTV,Academic Activity Level:
CAN_ACADEMIC_PROGRESS,num,8,ACDMPRG,Academic Progress:
CAN_ACCEPT_HIV_ORG,num,3,,willingness to accept HIV organ?
CAN_ACPT_HBC_POS,char,1,,Accept an Hepatitis B Core Antibody Positive Donor?
CAN_ACPT_HCV_POS,char,1,,Accept an HCV Positive donor?
CAN_ACPT_ORG_OTHER_TEAM,char,1,,Accept a Pancreas procured by another team?
CAN_ACTIVATE_DT,num,8,MMDDYY,Activation Date - date/time waiting time clock started
CAN_AGE_AT_LISTING,num,8,AGE9A,Calculated Candidate Age at Listing
CAN_AGE_DIAB,num,8,,Age at Diabetes Onset
CAN_AGE_IN_MONTHS_AT_LISTING,num,8,,Calculated Candidate Age in Months at Listing
CAN_ANASTOMOSIS,num,3,,Was anastomosis initiated?
CAN_ANESTH_PRIOR_DEATH,num,3,,Did the patient go to the operating room and receive anesthesia for transplant prior to death?
CAN_ANGINA,num,8,ANGINA,Angina/Coronary Artery Disease
CAN_ANGINA_CAD,num,8,ANGNACAD,Angina:
CAN_AVN,char,1,AVN,(avascular necrosis): (Ped Only)
CAN_BMI,num,8,,BMI:
CAN_CEREB_VASC,char,1,,Symptomatic Cerebrovascular Disease
CAN_CITIZENSHIP,num,8,CTZNLDTC,Patient/s Citizenship
CAN_CMV_STAT,char,2,$SRLSTT,Candidate/s CMV Status
CAN_COGNITIVE_DEVELOP,num,8,COGDEV,Cognitive Development (Ped Only)
CAN_CREAT_CLEAR,num,8,,Calculated Creatinine Clearance
CAN_CREAT_CLEAR_DT,num,8,MMDDYY,Date Candidate met the minimum Creatinine Clearance to begin accuring waiting time
CAN_C_PEPTIDE,num,8,,C-Peptide Value
CAN_DEATH_DT,num,8,MMDDYY,"If removed due to Death, date of death"
CAN_DGN,num,8,DGN,Primary Diagnosis
CAN_DGN2,num,8,PADGN,Primary Pancreas Diagnosis
CAN_DGN_OSTXT,char,50,,Primary Diagnosis/Specify
CAN_DIAB,num,8,DBINSLDP,Diabetes
CAN_DIAB_TY,num,8,DIABTY,Diabetes
CAN_DIAL,num,8,DIALTYLI,Dialysis
CAN_DIAL_DT,num,8,MMDDYY,Date Candidate went on Dialysis
CAN_DONATED_ORG,char,1,,Will receive Donation Status points
CAN_DRUG_TREAT_COPD,char,1,,Drug Treated COPD
CAN_DRUG_TREAT_HYPERTEN,char,1,,Drug Treated Systemic Hypertension
CAN_ECMO,num,3,,Life Support: ECMO
CAN_EDUCATION,num,8,EDLEVEL,Patient/s Educational Status
CAN_EMPL_STAT,num,8,EMPLSTAT,Patient/s Employment Status - Pre-6/30/2004
CAN_ENDWLFU,num,8,MMDDYY,Candidate cohort censoring date
CAN_ETHNICITY_SRTR,char,10,$ETHSR,SRTR Patient Ethnicity
CAN_EXHAUST_PERIT_ACCESS,char,1,,Exhausted Peritoneal Access
CAN_EXHAUST_VASC_ACCESS,char,1,,Exhausted Vascular Access
CAN_FOLLOWS_OPO_ALLOC,num,3,,Does candidate follow the OPO/s current allocation
CAN_FRAC_EXTREM,num,3,,Extremity fracture? (Ped Only)
CAN_FRAC_EXTREM_NUM,num,8,,# of Extremity fractures (Ped Only)
CAN_FRAC_OTHER,num,3,,Other fracture? (Ped Only)
CAN_FRAC_OTHER_NUM,num,8,,# of Other fractures (Ped Only)
CAN_FRAC_PASTYR,char,1,,Fracture in the past year (or since last follow-up) (Ped Only)
CAN_FRAC_SPINE,num,3,,Spine-compression fracture? (Ped Only)
CAN_FRAC_SPINE_NUM,num,8,,# of Spine-compression fractures (Ped Only)
CAN_FUNCTN_STAT,num,8,FUNCSTAT,Patient/s Functional Status
CAN_GENDER,char,1,,Patient/s Gender
CAN_GFR,num,8,,Measured GFR Score
CAN_GFR_DT,num,8,MMDDYY,Date Candidate met the minimum GFR score to begin accruing waiting time
CAN_GROWTH_HORMONE,char,1,,Is growth hormone therapy used at time of listing (Ped Only)
CAN_HGT_CM,num,8,,Candidate/s Height (stored in cm)
CAN_HGT_WGT_DT,num,8,MMDDYY,Date of Height & Weight Measurement (Ped Only)
CAN_IABP,num,3,,Life Support: IABP
CAN_INIT_ACT_STAT_CD,num,8,,First Active Status
CAN_INIT_ACT_STAT_DT,num,8,MMDDYY,Date of First Active Status
CAN_INIT_ALLOC_PRA,num,8,,First Allocation PRA (at listing)
CAN_INIT_CUR_PRA,num,8,,First non-missing Current PRA
CAN_INIT_INACT_STAT_DT,num,8,MMDDYY,Date of First Inactive Status
CAN_INIT_ISOLATED_ORG_KI,num,8,,Initial value of: will KP candidate accept isolated KI?
CAN_INIT_ISOLATED_ORG_PA,num,8,,Initial value of: will KP candidate accept isolated PA?
