org_id,org_type_id,org_name,src_org_id,open_dt,close_dt,altrntv_org_name,creat_dt,updt_dt,creat_user_name,updt_user_name,actv_sw,bso_name,org_type_name,org_type_desc,ownedby_name,organizational_affiliation_id,asctn_efctv_dt,managedby_org_name,managedby_id,first_backup_provider_org_name,first_backup_provider_id,other_affiliation_org_name,other_affiliation_id,auth_batch_submit_org_name,auth_batch_submit_org_id,network_org_name,network_org_id,relatedfacility_org_name,relatedfacility_org_id,geo_adr_type_cd_m,mr_org_adr_efctv_dt_m,geo_dlvry_line_adr_line_1_m,geo_dlvry_line_adr_line_2_m,geo_adr_city_name_m,geo_adr_zip_cd_m,geo_adr_plus_4_cd_m,geo_ssa_std_state_cd_m,geo_ssa_std_cnty_cd_m,geo_adr_type_cd_p,mr_org_adr_efctv_dt_p,geo_dlvry_line_adr_line_1_p,geo_dlvry_line_adr_line_2_p,geo_adr_city_name_p,geo_adr_zip_cd_p,geo_adr_plus_4_cd_p,geo_ssa_std_state_cd_p,geo_ssa_std_cnty_cd_p,tel_num_f,tel_type_cd_f,tel_num_p,tel_type_cd_p,extnsn_num_p,in_center_peritoneal_dialysis,prtnl_dlys_in_ltc,home_prtnl_dlys_trng_sprt,in_center_hemodialysis,hemodialysis_in_long_term_care,home_hmdyls_trng_sprt,in_center_nocturnal_hemodialysis,dialyzer_reuse,accepts_transients,accepts_pediatrics,isolation_stations,shift_start_after_5_pm,ptnt_rcvg_dlys_within_ltc,no_addtnl_srvcs,telemedicine,ntwrk_fac_cd,sbmt_stus_txt,bkup_fac_skip_ind,fac_ccn_num,npi_id,hosp_ccn_num,org_fac_type_id,crtfctn_initl_dt,crtfctn_trmntn_dt,isltn_stn_num,crtfd_stn_num,stn_tot_num,temp_clsd_ind,unos_lstg_cd,org_fac_type_name,open_time_mon,close_time_mon,oprtn_shift_num_mon,oprtn_stus_txt_mon,open_time_tue,close_time_tue,oprtn_shift_num_tue,oprtn_stus_txt_tue,open_time_wed,close_time_wed,oprtn_shift_num_wed,oprtn_stus_txt_wed,open_time_thur,close_time_thur,oprtn_shift_num_thur,oprtn_stus_txt_thur,open_time_fri,close_time_fri,oprtn_shift_num_fri,oprtn_stus_txt_fri,open_time_sat,close_time_sat,oprtn_shift_num_sat,oprtn_stus_txt_sat,open_time_sun,close_time_sun,oprtn_shift_num_sun,oprtn_stus_txt_sun,prft_stus_txt_profit,prft_stus_efctv_dt_profit,prft_stus_txt_non_profit,prft_stus_efctv_dt_non_profit,prft_stus_txt_gov_owned,prft_stus_efctv_dt_gov_owned,mdcr_stus_name,org_fac_pgm_type_name,org_fac_pgm_type_desc,org_fac_use_type_name,org_fac_use_type_desc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400910312,3,DaVita Dumas Dialysis,1400910312,01JAN2011,,DaVita Dumas Dialysis,20MAY2012,11MAR2020,LEGACY,APASCUA,1,,Facility,Facility,DaVita,101,01JAN2011,,,DaVita Amarillo Dialysis,1400465757,,,DaVita,101,Network 14,14,,,M,01JAN2011,109 BINKLEY AVE,,DUMAS,79029,3825,TX,TX - Moore,P,01JAN2011,109 BINKLEY AVE,,DUMAS,79029,3825,TX,TX - Moore,8069342273,F,8069352273,P,,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,672682H,SUBMITTED,,672682,1528329984,,4,06FEB2012,,1,7,8,,,Independent Renal Dialysis Facilities,7:00 AM,4:00 PM,2,open,7:00 AM,4:00 PM,2,open,7:00 AM,4:00 PM,2,open,7:00 AM,4:00 PM,2,open,7:00 AM,4:00 PM,2,open,7:00 AM,4:00 PM,2,open,,,,closed,Profit,01JAN2011,,,,,Certified,Dialysis,Dialysis,MEDICARE,MEDICARE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100019810,3,Queens Blvd Ext Care Facility Dialysis Ctr LLC,2100019810,01JUL2019,,Queens Blvd Ext Care Facility Dialysis Ctr LLC,30JAN2020,21FEB2020,ss9318,JBHARGAVA@NW1.ESRD.NET,1,,Facility,Facility,Independent,108,01JUL2019,,,,,,,NRAA,225,Network 2,2,,,M,01JUL2019,61-11 Queens Boulevard,,Woodside,11377,,NY,NY - Queens,P,01JUL2019,61-11 Queens Boulevard,,Woodside,11377,,NY,NY - Queens,7182058823,F,7182050287,P,,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,SUBMITTED,0,332802,1619539996,,4,18DEC2019,,1,15,15,,,Independent Renal Dialysis Facilities,5:00 AM,11:00 PM,4,open,5:00 AM,11:00 PM,4,open,5:00 AM,11:00 PM,4,open,5:00 AM,11:00 PM,4,open,5:00 AM,11:00 PM,4,open,5:00 AM,11:00 PM,4,open,,,,closed,Profit,01JUL2019,,,,,Certified,Dialysis,Dialysis,MEDICARE,MEDICARE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323171094,3,DaVita Hillside Dialysis,323171094,01JAN2006,,DaVita Hillside Dialysis,20MAY2012,09DEC2019,LEGACY,APASCUA,1,,Facility,Facility,DaVita,101,01JAN2006,DaVita,101,DaVita Newark Mt Pleasant,2100019881,DaVita,101,DaVita,101,Network 3,3,,,M,01JAN2006,1529 North Broad Street,,HILLSIDE,7205,,NJ,NJ - Union,P,01JAN2006,1529 North Broad Street,,HILLSIDE,7205,,NJ,NJ - Union,9734741198,F,9734741199,P,,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,287,SUBMITTED,0,312587,1366461527,,4,20DEC2006,,1,20,20,,,Independent Renal Dialysis Facilities,5:00 AM,6:30 PM,3,open,5:00 AM,6:30 PM,3,open,5:00 AM,6:30 PM,3,open,5:00 AM,6:30 PM,3,open,5:00 AM,6:30 PM,3,open,5:00 AM,6:30 PM,3,open,,,,closed,Profit,01JAN2006,,,,,Certified,Dialysis,Dialysis,MEDICARE,MEDICARE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545000168,3,BMA - SOUTHWEST VIRGINIA,545000168,01FEB1983,,BMA - SOUTHWEST VIRGINIA,20MAY2012,01APR2009,LEGACY,LEGACY,1,,Facility,Facility,Fresenius Medical Care,103,01FEB1983,Fresenius Medical Care,103,,,Fresenius Medical Care,103,Fresenius Medical Care,103,Network 5,5,,,M,01FEB1983,PO BOX 1335,,GRUNDY,24614,,VA,VA - Buchanan,P,01FEB1983,23758 RIVERSIDE DRIVE,,GRUNDY,24614,,VA,VA - Buchanan,2769358806,F,2769358889,P,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,214,SUBMITTED,0,492531,1447258728,,4,01FEB1983,,0,9,9,,,Independent Renal Dialysis Facilities,5:00 AM,8:30 PM,3,open,,,,closed,5:00 AM,8:30 PM,3,open,,,,closed,5:00 AM,8:30 PM,3,open,,,,closed,,,,closed,Profit,01FEB1983,,,,,Certified,Dialysis,Dialysis,MEDICARE,MEDICARE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700601584,3,DaVita Indian River Dialysis Center,700601584,01JUN2007,,DaVita Indian River Dialysis Center,20MAY2012,03JAN2020,LEGACY,APASCUA,1,,Facility,Facility,DaVita,101,01JUN2007,,,zClosed -DaVita Sebastian Dialysis,700000337,DaVita,101,DaVita,101,Network 7,7,,,M,01JUN2007,2150 45TH STREET,Suite 102,VERO BEACH,32967,,FL,FL - Indian River,P,01JUN2007,2150 45TH STREET,Suite 102,VERO BEACH,32967,,FL,FL - Indian River,7725672587,F,7725672529,P,,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,792,SUBMITTED,0,102851,1528113156,,4,17SEP2007,,0,16,16,,,Independent Renal Dialysis Facilities,5:30 AM,6:30 PM,3,open,7:00 AM,5:00 PM,2,open,5:30 AM,6:30 PM,3,open,7:00 AM,5:00 PM,2,open,5:30 AM,6:30 PM,3,open,7:00 AM,5:00 PM,2,open,,,,closed,Profit,01JUN2007,,,,,Certified,Dialysis,Dialysis,MEDICARE,MEDICARE
